Statistical profiling result from isolate-000002085CFFA3A0-v8.log, (19061 ticks, 297 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      4    0.0%    0.1%  Builtin: TypedArrayConstructByArrayBuffer
      4    0.0%    0.1%  Builtin: StringPrototypeIndexOf
      4    0.0%    0.1%  Builtin: InterpreterPushArgsThenConstructFunction
      4    0.0%    0.1%  Builtin: HandleApiCall
      4    0.0%    0.1%  Builtin: GreaterThan
      4    0.0%    0.1%  Builtin: ForInPrepare
      3    0.0%    0.1%  Stub: RecordWriteStub {7}
      3    0.0%    0.1%  Stub: RecordWriteStub {5}
      3    0.0%    0.1%  Stub: RecordWriteStub {4}
      3    0.0%    0.1%  Stub: ArraySingleArgumentConstructorStub {1}
      3    0.0%    0.1%  LazyCompile: *recordStartTime C:\Users\ben\Documents\GitHub\busyapi\node_modules\morgan\index.js:484:25
      3    0.0%    0.1%  LazyCompile: *dispatch C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\router\route.js:98:45
      3    0.0%    0.1%  LazyCompile: *callback C:\Users\ben\Documents\GitHub\busyapi\node_modules\ee-first\index.js:53:20
      3    0.0%    0.1%  LazyCompile: *addChunk _stream_readable.js:261:18
      3    0.0%    0.1%  LazyCompile: *<anonymous> C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\router\index.js:271:64
      3    0.0%    0.1%  Function: ~writeOrBuffer _stream_writable.js:339:23
      3    0.0%    0.1%  Function: ~resolve path.js:193:28
      3    0.0%    0.1%  Function: ~parse C:\Users\ben\Documents\GitHub\busyapi\node_modules\content-type\index.js:106:16
      3    0.0%    0.1%  Function: ~onCorkedFinish _stream_writable.js:623:24
      3    0.0%    0.1%  Function: ~isBuffer buffer.js:398:36
      3    0.0%    0.1%  Function: ~format C:\Users\ben\Documents\GitHub\busyapi\node_modules\content-type\index.js:65:17
      3    0.0%    0.1%  Function: ~first C:\Users\ben\Documents\GitHub\busyapi\node_modules\ee-first\index.js:24:15
      3    0.0%    0.1%  Function: ~finalhandler C:\Users\ben\Documents\GitHub\busyapi\node_modules\finalhandler\index.js:51:23
      3    0.0%    0.1%  Function: ~end _http_outgoing.js:726:45
      3    0.0%    0.1%  Function: ~developmentFormatLine C:\Users\ben\Documents\GitHub\busyapi\node_modules\morgan\index.js:183:52
      3    0.0%    0.1%  Function: ~append internal/linkedlist.js:29:16
      3    0.0%    0.1%  Function: ~addChunk _stream_readable.js:261:18
      3    0.0%    0.1%  Function: ~<anonymous> C:\Users\ben\Documents\GitHub\busyapi\routes\api\usages.js:2:37
      3    0.0%    0.1%  Builtin: TypedArrayPrototypeLength
      3    0.0%    0.1%  Builtin: StringPrototypeToLowerCaseIntl
      3    0.0%    0.1%  Builtin: StringPrototypeSplit
      3    0.0%    0.1%  Builtin: JSConstructStubApi
      3    0.0%    0.1%  Builtin: FunctionPrototypeCall
      3    0.0%    0.1%  Builtin: DeleteProperty
      2    0.0%    0.0%  Stub: RecordWriteStub {9}
      2    0.0%    0.0%  Stub: RecordWriteStub {8}
      2    0.0%    0.0%  Stub: RecordWriteStub {3}
      2    0.0%    0.0%  Stub: RecordWriteStub {1}
      2    0.0%    0.0%  Stub: RecordWriteStub {10}
      2    0.0%    0.0%  RegExp: ^\\/api\\/usages\\/?$
      2    0.0%    0.0%  RegExp: ^\\/?$
      2    0.0%    0.0%  LazyCompile: *updateOutgoingData _http_server.js:368:28
      2    0.0%    0.0%  LazyCompile: *router C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\router\index.js:45:18
      2    0.0%    0.0%  LazyCompile: *resetSocketTimeout _http_server.js:607:28
      2    0.0%    0.0%  LazyCompile: *push internal/process/next_tick.js:20:7
      2    0.0%    0.0%  LazyCompile: *listener C:\Users\ben\Documents\GitHub\busyapi\node_modules\on-finished\index.js:161:20
      2    0.0%    0.0%  LazyCompile: *etag C:\Users\ben\Documents\GitHub\busyapi\node_modules\etag\index.js:71:14
      2    0.0%    0.0%  LazyCompile: *emitReadable _stream_readable.js:498:22
      2    0.0%    0.0%  LazyCompile: *_handles_method C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\router\route.js:58:59
      2    0.0%    0.0%  LazyCompile: *Writable.cork _stream_writable.js:296:35
      2    0.0%    0.0%  LazyCompile: *TickObject internal/process/next_tick.js:234:16
      2    0.0%    0.0%  LazyCompile: *<anonymous> C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\request.js:448:36
      2    0.0%    0.0%  Function: ~writeHead C:\Users\ben\Documents\GitHub\busyapi\node_modules\on-headers\index.js:39:28
      2    0.0%    0.0%  Function: ~typeofrequest C:\Users\ben\Documents\GitHub\busyapi\node_modules\type-is\index.js:123:24
      2    0.0%    0.0%  Function: ~setHeader _http_outgoing.js:500:57
      2    0.0%    0.0%  Function: ~readableAddChunk _stream_readable.js:216:26
      2    0.0%    0.0%  Function: ~parserOnIncoming _http_server.js:545:26
      2    0.0%    0.0%  Function: ~normalizeType C:\Users\ben\Documents\GitHub\busyapi\node_modules\type-is\index.js:237:24
      2    0.0%    0.0%  Function: ~logger C:\Users\ben\Documents\GitHub\busyapi\node_modules\morgan\index.js:103:25
      2    0.0%    0.0%  Function: ~logRequest C:\Users\ben\Documents\GitHub\busyapi\node_modules\morgan\index.js:116:24
      2    0.0%    0.0%  Function: ~listener C:\Users\ben\Documents\GitHub\busyapi\node_modules\on-finished\index.js:161:20
      2    0.0%    0.0%  Function: ~isFinished C:\Users\ben\Documents\GitHub\busyapi\node_modules\on-finished\index.js:65:20
